Munic�pio1,C�digo Munic�pio IBGE,Popula��o estimada (2020),UF1,Data,M�dia de �ndice De Isolamento
PIRACICABA,3538709,407252,SP,"quinta-feira, 02/07",41%
PIRACICABA,3538709,407252,SP,"quarta-feira, 01/07",41%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 30/06",39%
PIRACICABA,3538709,407252,SP,"segunda-feira, 29/06",41%
PIRACICABA,3538709,407252,SP,"domingo, 28/06",47%
PIRACICABA,3538709,407252,SP,"s�bado, 27/06",44%
PIRACICABA,3538709,407252,SP,"sexta-feira, 26/06",40%
PIRACICABA,3538709,407252,SP,"quinta-feira, 25/06",40%
PIRACICABA,3538709,407252,SP,"quarta-feira, 24/06",41%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 23/06",41%
PIRACICABA,3538709,407252,SP,"segunda-feira, 22/06",41%
PIRACICABA,3538709,407252,SP,"domingo, 21/06",47%
PIRACICABA,3538709,407252,SP,"s�bado, 20/06",42%
PIRACICABA,3538709,407252,SP,"sexta-feira, 19/06",39%
PIRACICABA,3538709,407252,SP,"quinta-feira, 18/06",40%
PIRACICABA,3538709,407252,SP,"quarta-feira, 17/06",41%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 16/06",41%
PIRACICABA,3538709,407252,SP,"segunda-feira, 15/06",41%
PIRACICABA,3538709,407252,SP,"domingo, 14/06",47%
PIRACICABA,3538709,407252,SP,"s�bado, 13/06",43%
PIRACICABA,3538709,407252,SP,"sexta-feira, 12/06",40%
PIRACICABA,3538709,407252,SP,"quinta-feira, 11/06",45%
PIRACICABA,3538709,407252,SP,"quarta-feira, 10/06",41%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 09/06",41%
PIRACICABA,3538709,407252,SP,"segunda-feira, 08/06",41%
PIRACICABA,3538709,407252,SP,"domingo, 07/06",48%
PIRACICABA,3538709,407252,SP,"s�bado, 06/06",45%
PIRACICABA,3538709,407252,SP,"sexta-feira, 05/06",41%
PIRACICABA,3538709,407252,SP,"quinta-feira, 04/06",41%
PIRACICABA,3538709,407252,SP,"quarta-feira, 03/06",41%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 02/06",42%
PIRACICABA,3538709,407252,SP,"segunda-feira, 01/06",42%
PIRACICABA,3538709,407252,SP,"domingo, 31/05",49%
PIRACICABA,3538709,407252,SP,"s�bado, 30/05",45%
PIRACICABA,3538709,407252,SP,"sexta-feira, 29/05",41%
PIRACICABA,3538709,407252,SP,"quinta-feira, 28/05",42%
PIRACICABA,3538709,407252,SP,"quarta-feira, 27/05",42%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 26/05",40%
PIRACICABA,3538709,407252,SP,"segunda-feira, 25/05",46%
PIRACICABA,3538709,407252,SP,"domingo, 24/05",50%
PIRACICABA,3538709,407252,SP,"s�bado, 23/05",45%
PIRACICABA,3538709,407252,SP,"sexta-feira, 22/05",41%
PIRACICABA,3538709,407252,SP,"quinta-feira, 21/05",42%
PIRACICABA,3538709,407252,SP,"quarta-feira, 20/05",42%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 19/05",42%
PIRACICABA,3538709,407252,SP,"segunda-feira, 18/05",42%
PIRACICABA,3538709,407252,SP,"domingo, 17/05",48%
PIRACICABA,3538709,407252,SP,"s�bado, 16/05",45%
PIRACICABA,3538709,407252,SP,"sexta-feira, 15/05",42%
PIRACICABA,3538709,407252,SP,"quinta-feira, 14/05",43%
PIRACICABA,3538709,407252,SP,"quarta-feira, 13/05",43%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 12/05",43%
PIRACICABA,3538709,407252,SP,"segunda-feira, 11/05",44%
PIRACICABA,3538709,407252,SP,"domingo, 10/05",50%
PIRACICABA,3538709,407252,SP,"s�bado, 09/05",46%
PIRACICABA,3538709,407252,SP,"sexta-feira, 08/05",41%
PIRACICABA,3538709,407252,SP,"quinta-feira, 07/05",41%
PIRACICABA,3538709,407252,SP,"quarta-feira, 06/05",43%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 05/05",44%
PIRACICABA,3538709,407252,SP,"segunda-feira, 04/05",45%
PIRACICABA,3538709,407252,SP,"domingo, 03/05",56%
PIRACICABA,3538709,407252,SP,"s�bado, 02/05",49%
PIRACICABA,3538709,407252,SP,"sexta-feira, 01/05",55%
PIRACICABA,3538709,407252,SP,"quinta-feira, 30/04",43%
PIRACICABA,3538709,407252,SP,"quarta-feira, 29/04",45%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 28/04",45%
PIRACICABA,3538709,407252,SP,"segunda-feira, 27/04",46%
PIRACICABA,3538709,407252,SP,"domingo, 26/04",56%
PIRACICABA,3538709,407252,SP,"s�bado, 25/04",50%
PIRACICABA,3538709,407252,SP,"sexta-feira, 24/04",44%
PIRACICABA,3538709,407252,SP,"quinta-feira, 23/04",45%
PIRACICABA,3538709,407252,SP,"quarta-feira, 22/04",46%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 21/04",55%
PIRACICABA,3538709,407252,SP,"segunda-feira, 20/04",47%
PIRACICABA,3538709,407252,SP,"domingo, 19/04",57%
PIRACICABA,3538709,407252,SP,"s�bado, 18/04",51%
PIRACICABA,3538709,407252,SP,"sexta-feira, 17/04",46%
PIRACICABA,3538709,407252,SP,"quinta-feira, 16/04",47%
PIRACICABA,3538709,407252,SP,"quarta-feira, 15/04",47%
PIRACICABA,3538709,407252,SP,"ter�a-feira, 14/04",48%
PIRACICABA,3538709,407252,SP,"segunda-feira, 13/04",47%
PIRACICABA,3538709,407252,SP,"domingo, 12/04",56%
PIRACICABA,3538709,407252,SP,"s�bado, 11/04",52%
PIRACICABA,3538709,407252,SP,"sexta-feira, 10/04",56%
PIRACICABA,3538709,407252,SP,"quinta-feira, 09/04",44%
PIRACICABA,3538709,407252,SP,"quarta-feira, 08/04",48%
