,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo,base = ultimo periodo
junho 2020,"Indenizações, Restituições e Ressarcimentos",552.1153846153845,552.1153846153845,104.99096153846153,19.02,162.99048846153846,29.52,389.1248961538461,3,2020,2020-06-20,0.26
agosto 2020,"Indenizações, Restituições e Ressarcimentos",598.125,598.125,110.95491249999999,18.55,287.52794166666666,48.07,310.5970583333334,4,2020,2020-08-20,0.24
outubro 2020,"Indenizações, Restituições e Ressarcimentos",166.9186046511628,166.9186046511628,7.687162790697675,4.61,87.92751860465117,52.68,78.99108604651164,5,2020,2020-10-20,0.86
fevereiro 2019,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",12.790697674418604,12.790697674418604,0.0,0.0,0.0,0.0,12.790697674418604,1,2019,2019-02-20,0.43
abril 2019,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",9.649122807017545,9.649122807017545,0.0,0.0,0.0,0.0,9.649122807017545,2,2019,2019-04-20,0.57
junho 2019,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",550.0,550.0,0.0,0.0,132.0,24.0,418.0,3,2019,2019-06-20,0.01
agosto 2019,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",50.0,50.0,0.0,0.0,12.0,24.0,38.0,4,2019,2019-08-20,0.11
outubro 2019,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",55.0,55.0,0.0,0.0,13.2,24.0,41.8,5,2019,2019-10-20,0.1
dezembro 2019,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",4.782608695652174,4.782608695652174,0.5052173913043478,10.56,1.6530434782608696,34.56,3.129565217391305,6,2019,2019-12-20,1.15
fevereiro 2020,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",12.0,12.0,0.0,0.0,0.0,0.0,12.0,1,2020,2020-02-20,0.25
abril 2020,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",-9.67741935483871,-9.67741935483871,-0.0,0.0,-0.0,0.0,-9.67741935483871,2,2020,2020-04-20,-0.31
junho 2020,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",11.538461538461538,11.538461538461538,0.0,0.0,0.0,0.0,11.538461538461538,3,2020,2020-06-20,0.26
agosto 2020,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",12.5,12.5,0.0,0.0,0.0,0.0,12.5,4,2020,2020-08-20,0.24
outubro 2020,"Bens, Direitos e Valores Incorporados ao Patrimônio Público",3.488372093023256,3.488372093023256,0.0,0.0,0.0,0.0,3.488372093023256,5,2020,2020-10-20,0.86
fevereiro 2019,Demais Receitas Correntes,3975.2318604651164,3975.2318604651164,469.1992418604651,11.8,469.1992418604651,11.8,3506.0326186046514,1,2019,2019-02-20,0.43
abril 2019,Demais Receitas Correntes,2998.8591228070177,2998.8591228070177,320.39767368421053,10.68,674.3549964912281,22.49,2324.5041263157896,2,2019,2019-04-20,0.57
junho 2019,Demais Receitas Correntes,170934.97,170934.97,21587.2461,12.63,59893.4809,35.04,111041.4891,3,2019,2019-06-20,0.01
agosto 2019,Demais Receitas Correntes,15539.542727272728,15539.542727272728,2719.111990909091,17.5,8163.97389090909,52.54,7375.568836363636,4,2019,2019-08-20,0.11
outubro 2019,Demais Receitas Correntes,17093.497,17093.497,2151.42452,12.59,11131.7958,65.12,5961.7012,5,2019,2019-10-20,0.1
