,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),SALDO (i) = (e-h),DESPESAS PAGASATÉ O BIMESTRE(j),Bimestre,Ano,tempo,base = ultimo periodo
abril 2016,OUTRAS DESPESAS CORRENTES,815.1066954306394,834.7215531337642,82.3897490381101,637.3510589404284,197.37049419333601,125.38548055601409,224.6362022078942,610.0853509258702,218.5012510369675,2,2016,2016-04-20,84.46574219786739
junho 2016,OUTRAS DESPESAS CORRENTES,805.9182421850584,836.6611162717992,86.22482559410777,716.3902513013159,120.27086497048339,135.46969750834268,357.5726772485055,479.08843902329374,352.54949106974976,3,2016,2016-06-20,85.42875492349346
agosto 2016,OUTRAS DESPESAS CORRENTES,798.1998664694631,830.9352392867623,27.35155742907916,736.8808533268523,94.05438595991006,136.07881378794764,490.226974597723,340.70826468903937,483.9245410746328,4,2016,2016-08-20,86.25482775952575
outubro 2016,OUTRAS DESPESAS CORRENTES,795.4876471791893,836.2828979103793,32.07747748907874,766.4544686267946,69.82842928358473,135.8786835362506,624.4399060924485,211.84299181793088,133.27067905128118,5,2016,2016-10-20,86.54891404553938
dezembro 2016,OUTRAS DESPESAS CORRENTES,791.6736021060237,841.740870270377,25.423878011676653,788.2035040431932,53.53736622718377,137.27937457559312,758.7253410942906,83.01552917608626,752.6564799384771,6,2016,2016-12-20,86.96588065693713
fevereiro 2017,OUTRAS DESPESAS CORRENTES,853.8700603290129,841.0734826454931,536.2097877017213,536.2097877017213,304.86369494377163,89.93133370475702,89.93133370475702,751.1421489407361,,1,2017,2017-02-20,87.5866475177533
abril 2017,OUTRAS DESPESAS CORRENTES,850.542955638941,842.0393165558596,145.15963817588292,679.2800844398246,162.75923211603504,142.5171837902903,232.09810005326673,609.941216502593,225.7881244726047,2,2017,2017-04-20,87.92926389451829
junho 2017,OUTRAS DESPESAS CORRENTES,849.8564569031562,845.3999769415108,45.12020438987086,723.8520214951416,121.54795544636922,143.0967410943662,375.0075078081369,470.3924691333738,366.4062482157278,3,2017,2017-06-20,88.00029156985306
agosto 2017,OUTRAS DESPESAS CORRENTES,846.2059494839159,850.919650712901,37.91788617493442,758.6606447428649,92.2590059700362,132.29071503936837,505.68740059816594,345.23225011473505,494.9259415803524,4,2017,2017-08-20,88.37992222296648
outubro 2017,OUTRAS DESPESAS CORRENTES,841.3036414808898,845.990034918819,37.69821724331489,754.2655112028889,91.7245237159301,131.52431788574512,502.7578118940286,343.2322230247904,492.05869702151375,5,2017,2017-10-20,88.89491535821291
dezembro 2017,OUTRAS DESPESAS CORRENTES,835.2566201230906,859.1062621495042,20.67105316467887,802.6019955850282,56.50426656447593,142.9465968704415,763.621991358287,95.48427079121724,789.0656876624564,6,2017,2017-12-20,89.53848936746968
fevereiro 2018,OUTRAS DESPESAS CORRENTES,863.9724866254862,874.1943477489957,628.0687411300408,628.0687411300408,246.12560661895466,92.21094724694554,92.21094724694554,781.98340050205,86.36168807761844,1,2018,2018-02-20,90.08718518803816
abril 2018,OUTRAS DESPESAS CORRENTES,861.2958825824708,881.755980996522,77.6652766325512,703.7882482411965,177.96773275532553,132.16628054523656,224.09155643339213,657.66442456313,275.90173594755385,2,2018,2018-04-20,90.36714440875939
