,Despesas Orçamentárias,DOTAÇÃO INICIAL (d),DOTAÇÃO ATUALIZADA (e),DESPESAS EMPENHADAS NO BIMESTRE,DESPESAS EMPENHADAS ATÉ O BIMESTRE (f),% (b/total b),SALDO (g) =(e-f),DESPESAS LIQUIDADAS NO BIMESTRE,DESPESAS LIQUIDADAS ATÉ O BIMESTRE (h),% (d/total d),SALDO (i) = (e-h),Bimestre,Ano,tempo,base = ultimo periodo
agosto 2019,Educação,418.7859179128887,422.45457299920497,46.75275700021368,292.31543396441793,21.14,124001785.31,61.21475700333145,242.30928109689935,22.21,171649651.11,4.0,2019.0,2019-08-20,95.28400620266395
outubro 2019,Educação,418.53447884777376,424.2283998335941,47.4126117730894,339.55253955095503,21.71,80731022.87,67.21550176087561,309.3793003654044,22.43,109498566.0,5.0,2019.0,2019-10-20,95.34124908861676
dezembro 2019,Educação,411.6113535460851,433.2437606493205,77.36848050616399,411.30436265701786,23.11,21269115.98,98.70663956359522,402.96838863890036,23.42,29350413.3,6.0,2019.0,2019-12-20,96.94484774587804
fevereiro 2020,Educação,422.2109201911439,422.2109201911439,110.77587716287535,110.77587716287535,13.51,303313879.74,46.80057850109871,46.80057850109871,19.04,365620920.9,1.0,2020.0,2020-02-20,97.3923412056326
abril 2020,Educação,423.22331020190586,428.7279894876212,82.77653957486717,193.81803845928002,18.41,228237027.44,61.826367241178765,108.73916557342477,20.64,310899123.96,2.0,2020.0,2020-04-20,97.15936955453364
junho 2020,Educação,423.72699672784336,429.23822724247015,51.1746636387056,245.22336882191675,19.63,178575150.47,60.27139199644958,169.1399702256066,20.57,252409429.23,3.0,2020.0,2020-06-20,97.04387569718891
agosto 2020,Educação,421.18829574872797,425.90469287078724,43.41416480899092,287.1683121478828,20.55,135446670.62,48.13279594384965,216.25938771744535,20.14,204674206.19,4.0,2020.0,2020-08-20,97.62880501439999
outubro 2020,Educação,414.893653516295,418.96141877711636,42.30086928665119,325.1774624962164,21.03,92949279.07,59.461523145999394,272.488922964383,20.5,145168890.6,5.0,2020.0,2020-10-20,99.11
fevereiro 2017,Trabalho,10.57809639091625,11.624488764610232,9.124224098633468,9.124224098633468,1.3,2189898.0,1.3034044484561447,1.3034044484561447,0.6,9039891.74,1.0,2017.0,2017-02-20,87.5866475177533
abril 2017,Trabalho,10.536878838329047,11.579193944138929,0.05102965498929566,9.13970121442244,0.94,2145028.0,1.4341307934895777,2.7324565265123133,0.56,7778871.09,2.0,2017.0,2017-04-20,87.92926389451829
